date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linesaggm,lineray1,linefox,linedok,linetalis,linemassey,linepugh,linedonc,linemds,linedoi,linelogic
3/13/16,Brooklyn,100,Milwaukee,109,-1.5,-1.59,-1.89,-3.67,-1.09,-1,-1.46,1.1,-2.06,-0.75,-1,-2.92,,-1.64,,-2.2,,-0.24,-2
3/15/16,Brooklyn,131,Philadelphia,114,7.5,6,5.69,4.8,5.93,7,5.35,7.9,5.91,2.5,7,6.33,6.45,5.4,7.34,6.5,,6.4,3
3/22/16,Brooklyn,100,Charlotte,105,-6,-5.48,-5.69,-7.19,-5.28,-7.5,-7.05,-2.5,-5.32,-0.25,-6,-4.62,-6.45,-5.87,-5.13,-4.9,,-3.77,-7
3/24/16,Brooklyn,104,Cleveland,95,-7,-8.65,-9.67,-10,-9.47,-9,-10.08,-6.9,-10.09,-5,-9,-9.63,-8.02,-10.39,0,-8.6,,-8.26,-11
3/26/16,Brooklyn,120,Indiana,110,-6,-4.58,-5.06,-4.32,-5.28,-5,-5.17,-1.5,-5.38,-1.75,-1,-4.93,-5.53,-5.45,-4.75,-4.8,,-3.92,-7
4/3/16,Brooklyn,87,New Orleans,106,2.5,-0.96,-1.86,-1.98,-1.75,5,-2.08,1.2,-2.06,-0.25,-1,0.34,-1.03,-0.87,-0.48,-0.6,,0.67,-2
4/11/16,Brooklyn,111,Washington,120,-6,-4.67,-4.64,-6.74,-3.96,-5,-3.85,-3.3,-4.41,-1,-8,-6.61,-3.43,-4.39,-2.47,-5.3,,-3.28,-5
4/13/16,Brooklyn,96,Toronto,103,-4.5,-8.39,-8.89,-10.57,-8.35,-4,-5.67,-6.9,-8.81,-3.5,-14,-5.97,-8.53,-9.4,-7.72,-6.5,,-5.09,-11
11/1/15,Charlotte,92,Atlanta,94,-2,-3.57,-3.4,-4.07,-2.77,-1,-4.76,-3.3,-5.15,,-3,-2.47,-1.86,,-3.05,-0.5,-8.04,-4.05,
11/3/15,Charlotte,130,Chicago,105,-4,-4.63,-4.1,-4.67,-3.55,-3,-7.78,-5.9,-5.51,,-6,-5.21,-0.14,,-6.53,-2.9,-4.08,-3.79,
11/11/15,Charlotte,95,New York,93,6.5,5.74,3.81,4.09,3.77,4.5,4.18,3.4,3.66,,8,5.95,9.17,,8.74,7.5,8.73,3.59,
11/15/15,Charlotte,106,Portland,94,4.5,3.84,4.41,4.76,4.35,4,1.81,3.5,4.27,4,4,3.6,-0.3,,7.41,1.7,,6.6,
11/18/15,Charlotte,116,Brooklyn,111,6.5,8.4,7.89,7.7,7.92,7,9.21,5.3,8.12,7.5,9,7.34,5.13,,17.57,7.4,,8.27,
11/20/15,Charlotte,113,Philadelphia,88,10.5,11.88,11.36,12.35,11.2,10,10.77,10,11.82,11,16,11.01,8.56,,17.29,9.9,,12.26,
11/23/15,Charlotte,127,Sacramento,122,4,5.49,4.94,4.07,5.13,5,4.05,5.4,4.9,9,5,4.81,5.39,,9.8,7.3,,5.12,
11/25/15,Charlotte,101,Washington,87,4,3.08,2.84,2,3.03,2,,1.7,1.99,6.5,5,1.76,2.63,,8.51,3.2,,1.23,
11/27/15,Charlotte,90,Cleveland,95,-4,-2.24,-2.49,-2.44,-2.47,-3.5,0.36,-4.8,-3.26,3.5,0.01,-3.73,-3.62,,1.45,-2.3,,-3.55,
11/29/15,Charlotte,87,Milwaukee,82,7,8.29,7.31,5.36,7.92,5.5,12.17,4.9,5.36,8.5,14,7.01,6.66,,16.42,8,,4.33,
12/2/15,Charlotte,99,Golden State,116,-9,-8.01,-7.97,-8.39,-7.88,-10,-9.37,-8.6,-8.4,-0.5,-10,-10.04,-6.82,,-5.47,-6.8,,-6.37,
12/7/15,Charlotte,104,Detroit,84,2.5,2.52,2.74,3.53,2.59,3,2.48,2.5,2.59,6.5,3,2.04,-0.08,,5.93,2.6,,0.27,
